   Radius        Density      Pressure     
1.800000e+05  3.013138e+15  3.708835e+36
1.810000e+05  3.011532e+15  3.702906e+36
1.820000e+05  3.009918e+15  3.696955e+36
1.830000e+05  3.008296e+15  3.690981e+36
1.840000e+05  3.006666e+15  3.684986e+36
1.850000e+05  3.005029e+15  3.678969e+36
1.860000e+05  3.003383e+15  3.672930e+36
1.870000e+05  3.001731e+15  3.666870e+36
1.880000e+05  3.000070e+15  3.660788e+36
1.890000e+05  2.998402e+15  3.654685e+36
1.900000e+05  2.996727e+15  3.648562e+36
1.910000e+05  2.995044e+15  3.642417e+36
1.920000e+05  2.993353e+15  3.636252e+36
1.930000e+05  2.991654e+15  3.630066e+36
1.940000e+05  2.989949e+15  3.623860e+36
1.950000e+05  2.988235e+15  3.617634e+36
1.960000e+05  2.986514e+15  3.611387e+36
1.970000e+05  2.984786e+15  3.605121e+36
1.980000e+05  2.983050e+15  3.598834e+36
1.990000e+05  2.981307e+15  3.592528e+36
2.000000e+05  2.979556e+15  3.586203e+36
2.010000e+05  2.977798e+15  3.579858e+36
2.020000e+05  2.976032e+15  3.573495e+36
2.030000e+05  2.974259e+15  3.567112e+36
2.040000e+05  2.972479e+15  3.560710e+36
2.050000e+05  2.970691e+15  3.554290e+36
2.060000e+05  2.968896e+15  3.547851e+36
2.070000e+05  2.967094e+15  3.541393e+36
2.080000e+05  2.965284e+15  3.534918e+36
2.090000e+05  2.963467e+15  3.528424e+36
2.100000e+05  2.961643e+15  3.521912e+36
2.110000e+05  2.959812e+15  3.515383e+36
2.120000e+05  2.957973e+15  3.508836e+36
2.130000e+05  2.956128e+15  3.502271e+36
2.140000e+05  2.954275e+15  3.495689e+36
2.150000e+05  2.952414e+15  3.489090e+36
2.160000e+05  2.950547e+15  3.482474e+36
2.170000e+05  2.948673e+15  3.475841e+36
2.180000e+05  2.946791e+15  3.469192e+36
2.190000e+05  2.944902e+15  3.462525e+36
2.200000e+05  2.943007e+15  3.455843e+36
2.210000e+05  2.941104e+15  3.449144e+36
2.220000e+05  2.939194e+15  3.442429e+36
2.230000e+05  2.937277e+15  3.435698e+36
2.240000e+05  2.935353e+15  3.428951e+36
2.250000e+05  2.933422e+15  3.422189e+36
2.260000e+05  2.931484e+15  3.415411e+36
2.270000e+05  2.929539e+15  3.408618e+36
2.280000e+05  2.927588e+15  3.401810e+36
2.290000e+05  2.925629e+15  3.394986e+36
2.300000e+05  2.923663e+15  3.388148e+36
2.310000e+05  2.921691e+15  3.381295e+36
2.320000e+05  2.919712e+15  3.374428e+36
2.330000e+05  2.917725e+15  3.367546e+36
2.340000e+05  2.915732e+15  3.360650e+36
2.350000e+05  2.913733e+15  3.353740e+36
2.360000e+05  2.911726e+15  3.346815e+36
2.370000e+05  2.909712e+15  3.339877e+36
2.380000e+05  2.907692e+15  3.332926e+36
2.390000e+05  2.905665e+15  3.325960e+36
2.400000e+05  2.903632e+15  3.318982e+36
2.410000e+05  2.901591e+15  3.311990e+36
2.420000e+05  2.899544e+15  3.304985e+36
2.430000e+05  2.897491e+15  3.297968e+36
2.440000e+05  2.895430e+15  3.290937e+36
2.450000e+05  2.893363e+15  3.283894e+36
2.460000e+05  2.891290e+15  3.276839e+36
2.470000e+05  2.889209e+15  3.269771e+36
2.480000e+05  2.887123e+15  3.262691e+36
