t,Ixx,Ixy,Ixz,Iyx,Iyy,Iyz,Izx,Izy,Izz
3.460,    4.753207518493142e+44,    7.448498975764686e+34,   -4.603890937522714e+35,    7.448498975764686e+34,    4.753207625080794e+44,    5.207056980341477e+35,   -4.603890937522714e+35,    5.207056980341477e+35,    4.550989082210152e+44
3.470,    4.743211218720810e+44,    6.508452532948458e+34,   -4.598765082837580e+35,    6.508452532948458e+34,    4.743211324189530e+44,    5.451514952843403e+35,   -4.598765082837580e+35,    5.451514952843403e+35,    4.544705574634382e+44
3.480,    4.733247134863416e+44,    9.974178079396964e+34,   -4.733182099297127e+35,    9.974178079396964e+34,    4.733247240364781e+44,    5.330428482465515e+35,   -4.733182099297127e+35,    5.330428482465515e+35,    4.538484089678099e+44
3.490,    4.723307667909696e+44,    9.439119747243502e+34,   -4.865892975983896e+35,    9.439119747243502e+34,    4.723307772595848e+44,    5.726923759047937e+35,   -4.865892975983896e+35,    5.726923759047937e+35,    4.532319920398022e+44
3.500,    4.713396134131619e+44,    5.710493527624270e+34,   -4.894375837040380e+35,    5.710493527624270e+34,    4.713396238709565e+44,    5.693811982432552e+35,   -4.894375837040380e+35,    5.693811982432552e+35,    4.526214711978105e+44
3.510,    4.703513173532766e+44,    6.638006657531275e+34,   -4.896398020748537e+35,    6.638006657531275e+34,    4.703513277622869e+44,    5.544002772788778e+35,   -4.896398020748537e+35,    5.544002772788778e+35,    4.520167986936425e+44
3.520,    4.693659166866751e+44,    5.432087384703748e+34,   -4.934528064723518e+35,    5.432087384703748e+34,    4.693659270188486e+44,    5.858472229649991e+35,   -4.934528064723518e+35,    5.858472229649991e+35,    4.514179915270421e+44
3.530,    4.683835554020456e+44,    6.344395471924221e+34,   -5.243849035516932e+35,    6.344395471924221e+34,    4.683835656913324e+44,    5.855941109063327e+35,   -5.243849035516932e+35,    5.855941109063327e+35,    4.508251590504128e+44
3.540,    4.674039494421289e+44,    7.869301121821725e+34,   -5.256193613840234e+35,    7.869301121821725e+34,    4.674039597210662e+44,    6.009182685637168e+35,   -5.256193613840234e+35,    6.009182685637168e+35,    4.502381329528104e+44
3.550,    4.664270897871320e+44,    9.225079433793530e+34,   -5.127254955013490e+35,    9.225079433793530e+34,    4.664270999396843e+44,    6.140251808092853e+35,   -5.127254955013490e+35,    6.140251808092853e+35,    4.496570732989871e+44
3.560,    4.654525017637295e+44,    8.894310861226807e+34,   -5.051695472820747e+35,    8.894310861226807e+34,    4.654525118203431e+44,    6.289518702599542e+35,   -5.051695472820747e+35,    6.289518702599542e+35,    4.490820570668941e+44
3.570,    4.644805803039746e+44,    8.027646941891026e+34,   -5.294960202717125e+35,    8.027646941891026e+34,    4.644805902998751e+44,    6.416873074766467e+35,   -5.294960202717125e+35,    6.416873074766467e+35,    4.485138960325585e+44
3.580,    4.635114282484272e+44,    7.608050714087092e+34,   -5.685467610829985e+35,    7.608050714087092e+34,    4.635114382031383e+44,    6.568244831498569e+35,   -5.685467610829985e+35,    6.568244831498569e+35,    4.479535146176054e+44
3.590,    4.625437469099804e+44,    8.424175578758620e+34,   -5.380715565934129e+35,    8.424175578758620e+34,    4.625437567793171e+44,    6.309734450313212e+35,   -5.380715565934129e+35,    6.309734450313212e+35,    4.474014374329939e+44
3.600,    4.615761038449598e+44,    6.700478868562666e+34,   -5.377911154506382e+35,    6.700478868562666e+34,    4.615761136122304e+44,    6.940259436342868e+35,   -5.377911154506382e+35,    6.940259436342868e+35,    4.468577586247712e+44
3.610,    4.606055338362756e+44,    5.865065965131469e+34,   -5.913439394200708e+35,    5.865065965131469e+34,    4.606055435796955e+44,    7.088057128711260e+35,   -5.913439394200708e+35,    7.088057128711260e+35,    4.463204315285591e+44
3.620,    4.596298036150780e+44,    6.997149312455694e+34,   -5.706322771776802e+35,    6.997149312455694e+34,    4.596298132654601e+44,    7.157814565474035e+35,   -5.706322771776802e+35,    7.157814565474035e+35,    4.457886893888482e+44
3.630,    4.586475354777618e+44,    6.804358839762350e+34,   -5.997571093665576e+35,    6.804358839762350e+34,    4.586475450757672e+44,    7.478010592601452e+35,   -5.997571093665576e+35,    7.478010592601452e+35,    4.452631435901830e+44
3.640,    4.576578817178001e+44,    9.725882415672015e+34,   -5.986306291507928e+35,    9.725882415672015e+34,    4.576578911900878e+44,    7.075527664801699e+35,   -5.986306291507928e+35,    7.075527664801699e+35,    4.447441802327519e+44
3.650,    4.566609660926926e+44,    8.298382339918203e+34,   -6.114677292122573e+35,    8.298382339918203e+34,    4.566609755437237e+44,    7.479144541352753e+35,   -6.114677292122573e+35,    7.479144541352753e+35,    4.442319793627945e+44
3.660,    4.556575654798102e+44,    9.144906476474053e+34,   -6.002454203495624e+35,    9.144906476474053e+34,    4.556575748318205e+44,    7.571387805229806e+35,   -6.002454203495624e+35,    7.571387805229806e+35,    4.437270034595550e+44
3.670,    4.546484139060354e+44,    8.790233014308065e+34,   -6.022059777830552e+35,    8.790233014308065e+34,    4.546484232360089e+44,    7.636087562594651e+35,   -6.022059777830552e+35,    7.636087562594651e+35,    4.432300170155020e+44
3.680,    4.536343494316635e+44,    9.475763906694919e+34,   -6.075541894688651e+35,    9.475763906694919e+34,    4.536343587496653e+44,    7.971899735992426e+35,   -6.075541894688651e+35,    7.971899735992426e+35,    4.427414074394175e+44
3.690,    4.526165134036922e+44,    8.700155737875140e+34,   -6.305290277929991e+35,    8.700155737875140e+34,    4.526165226450700e+44,    7.856144962360563e+35,   -6.305290277929991e+35,    7.856144962360563e+35,    4.422616121413225e+44
3.700,    4.515936336162472e+44,    9.366288100531390e+34,   -6.395182429539635e+35,    9.366288100531390e+34,    4.515936428203467e+44,    7.930861727828841e+35,   -6.395182429539635e+35,    7.930861727828841e+35,    4.417876224700265e+44
3.710,    4.505660270489085e+44,    7.303015096198663e+34,   -6.180893636159118e+35,    7.303015096198663e+34,    4.505660361538434e+44,    8.150432782911704e+35,   -6.180893636159118e+35,    8.150432782911704e+35,    4.413185131358774e+44
3.720,    4.495342357849234e+44,    7.126034032570224e+34,   -6.430318989660694e+35,    7.126034032570224e+34,    4.495342448588019e+44,    7.991123707779968e+35,   -6.430318989660694e+35,    7.991123707779968e+35,    4.408552164982097e+44
3.730,    4.484990438532483e+44,    9.445140038896591e+34,   -6.439969408234295e+35,    9.445140038896591e+34,    4.484990528502658e+44,    8.144296730324873e+35,   -6.439969408234295e+35,    8.144296730324873e+35,    4.403980765185574e+44
3.740,    4.474600359193864e+44,    8.091655603860756e+34,   -6.394654312447487e+35,    8.091655603860756e+34,    4.474600448620067e+44,    8.095865659101764e+35,   -6.394654312447487e+35,    8.095865659101764e+35,    4.399466611968582e+44
3.750,    4.464183092509855e+44,    1.079353914597363e+35,   -6.570002856953177e+35,    1.079353914597363e+35,    4.464183181678784e+44,    8.541530109119237e+35,   -6.570002856953177e+35,    8.541530109119237e+35,    4.395015706949782e+44
3.760,    4.453742322720871e+44,    7.896269350842138e+34,   -6.779441200011230e+35,    7.896269350842138e+34,    4.453742411049535e+44,    8.542733246815544e+35,   -6.779441200011230e+35,    8.542733246815544e+35,    4.390630432514207e+44
3.770,    4.443277417586140e+44,    7.005430647498575e+34,   -6.846871849805437e+35,    7.005430647498575e+34,    4.443277505436445e+44,    8.614130994517976e+35,   -6.846871849805437e+35,    8.614130994517976e+35,    4.386305646340478e+44
3.780,    4.432787851151557e+44,    6.582858784920393e+34,   -6.884924623055154e+35,    6.582858784920393e+34,    4.432787938050980e+44,    8.774532475479380e+35,   -6.884924623055154e+35,    8.774532475479380e+35,    4.382034697424099e+44
3.790,    4.422276465774640e+44,    9.008750713626253e+34,   -6.693816268219942e+35,    9.008750713626253e+34,    4.422276552392868e+44,    8.806413211456924e+35,   -6.693816268219942e+35,    8.806413211456924e+35,    4.377823872937646e+44
3.800,    4.411744927150806e+44,    8.066170003075999e+34,   -6.986393778615875e+35,    8.066170003075999e+34,    4.411745013025340e+44,    8.944700509943697e+35,   -6.986393778615875e+35,    8.944700509943697e+35,    4.373672994397985e+44
3.810,    4.401200551339483e+44,    1.056428017287255e+35,   -7.264555872265373e+35,    1.056428017287255e+35,    4.401200637102626e+44,    9.085704975417561e+35,   -7.264555872265373e+35,    9.085704975417561e+35,    4.369582015524828e+44
3.820,    4.390641529759187e+44,    1.023305819579907e+35,   -6.971250580472578e+35,    1.023305819579907e+35,    4.390641614465708e+44,    9.181137270692286e+35,   -6.971250580472578e+35,    9.181137270692286e+35,    4.365547507374410e+44
3.830,    4.380071005310755e+44,    1.074994196009092e+35,   -7.060729348963713e+35,    1.074994196009092e+35,    4.380071090106744e+44,    9.051740858580693e+35,   -7.060729348963713e+35,    9.051740858580693e+35,    4.361568147889736e+44
3.840,    4.369500061529911e+44,    1.065360414592509e+35,   -7.225560685786881e+35,    1.065360414592509e+35,    4.369500145032568e+44,    9.290787908873524e+35,   -7.225560685786881e+35,    9.290787908873524e+35,    4.357646407043993e+44
3.850,    4.358924201564204e+44,    1.132611584841749e+35,   -7.137547277063163e+35,    1.132611584841749e+35,    4.358924285076738e+44,    9.456951983616958e+35,   -7.137547277063163e+35,    9.456951983616958e+35,    4.353779532473368e+44
3.860,    4.348351140830012e+44,    1.138345179117037e+35,   -7.147574107445393e+35,    1.138345179117037e+35,    4.348351223914043e+44,    9.410154059729404e+35,   -7.147574107445393e+35,    9.410154059729404e+35,    4.349969497844129e+44
3.870,    4.337778575772128e+44,    9.375100503203621e+34,   -7.390858351797991e+35,    9.375100503203621e+34,    4.337778658424258e+44,    9.406481833030855e+35,   -7.390858351797991e+35,    9.406481833030855e+35,    4.346215451957059e+44
3.880,    4.327209634703623e+44,    9.961494406826079e+34,   -7.270406063934994e+35,    9.961494406826079e+34,    4.327209717464995e+44,    9.646832985455418e+35,   -7.270406063934994e+35,    9.646832985455418e+35,    4.342517915575597e+44
3.890,    4.316642901587644e+44,    1.051870719387750e+35,   -7.460808246538380e+35,    1.051870719387750e+35,    4.316642983731678e+44,    9.671958379379187e+35,   -7.460808246538380e+35,    9.671958379379187e+35,    4.338876692389370e+44
3.900,    4.306078754973765e+44,    1.057117380823015e+35,   -7.476234823794624e+35,    1.057117380823015e+35,    4.306078836381468e+44,    9.527581108879907e+35,   -7.476234823794624e+35,    9.527581108879907e+35,    4.335290516626309e+44
3.910,    4.295515586162759e+44,    6.903616127303228e+34,   -7.405918209676838e+35,    6.903616127303228e+34,    4.295515667300088e+44,    9.724576020180582e+35,   -7.405918209676838e+35,    9.724576020180582e+35,    4.331758310473748e+44
3.920,    4.284959386190108e+44,    8.713174756977520e+34,   -7.488234556853205e+35,    8.713174756977520e+34,    4.284959466954270e+44,    9.954739946953638e+35,   -7.488234556853205e+35,    9.954739946953638e+35,    4.328281076721617e+44
3.930,    4.274408423072235e+44,    9.075364597799950e+34,   -7.419651026884972e+35,    9.075364597799950e+34,    4.274408503758437e+44,    1.008265665262531e+36,   -7.419651026884972e+35,    1.008265665262531e+36,    4.324857509599407e+44
3.940,    4.263865282266551e+44,    9.501824333261945e+34,   -7.597447557906065e+35,    9.501824333261945e+34,    4.263865362785113e+44,    9.959661077594976e+35,   -7.597447557906065e+35,    9.959661077594976e+35,    4.321486746738596e+44
3.950,    4.253332160868376e+44,    1.197860237205817e+35,   -7.488264060981703e+35,    1.197860237205817e+35,    4.253332241062000e+44,    9.811146791923778e+35,   -7.488264060981703e+35,    9.811146791923778e+35,    4.318167518930182e+44
3.960,    4.242805876386217e+44,    8.432625600339767e+34,   -7.526393317938835e+35,    8.432625600339767e+34,    4.242805956211375e+44,    1.001337463766561e+36,   -7.526393317938835e+35,    1.001337463766561e+36,    4.314897477717416e+44
3.970,    4.232295380380012e+44,    1.033162965638306e+35,   -7.617584928221448e+35,    1.033162965638306e+35,    4.232295460533680e+44,    9.896666531478979e+35,   -7.617584928221448e+35,    9.896666531478979e+35,    4.311677750730944e+44
3.980,    4.221792627594822e+44,    9.904268661708790e+34,   -7.446609224369512e+35,    9.904268661708790e+34,    4.221792707223738e+44,    1.006076364429822e+36,   -7.446609224369512e+35,    1.006076364429822e+36,    4.308502863733030e+44
3.990,    4.211307570337478e+44,    8.326031924878015e+34,   -7.513506920044879e+35,    8.326031924878015e+34,    4.211307650968603e+44,    1.003395367048895e+36,   -7.513506920044879e+35,    1.003395367048895e+36,    4.305374127648084e+44
4.000,    4.200834646329938e+44,    8.967937894744539e+34,   -7.548464211804683e+35,    8.967937894744539e+34,    4.200834726872062e+44,    9.881402117659353e+35,   -7.548464211804683e+35,    9.881402117659353e+35,    4.302287585467020e+44
4.010,    4.190380539745079e+44,    7.043043785336631e+34,   -7.341336481560827e+35,    7.043043785336631e+34,    4.190380620210192e+44,    9.446442069469008e+35,   -7.341336481560827e+35,    9.446442069469008e+35,    4.299242285278503e+44
