              t                       Ixx                      Iyy                      Izz           
    2.129984497179618e+00     6.114299935145820e+44     6.114300080732851e+44     5.873984867879279e+44
    2.139995807246766e+00     6.108158335009456e+44     6.108158479854119e+44     5.866060021927846e+44
    2.149998456661980e+00     6.101938898262640e+44     6.101939043597591e+44     5.858026741638491e+44
    2.159991327179745e+00     6.095637465630582e+44     6.095637609809135e+44     5.849879434083845e+44
    2.169988413891283e+00     6.089240048285843e+44     6.089240192416156e+44     5.841600018688280e+44
    2.179987973961513e+00     6.082742320529758e+44     6.082742464079396e+44     5.833183140773900e+44
    2.189988196084969e+00     6.076140107695581e+44     6.076140252198658e+44     5.824623940612649e+44
    2.199987207099824e+00     6.069429432017809e+44     6.069429575530627e+44     5.815918123273893e+44
    2.209997778532056e+00     6.062596473835269e+44     6.062596617690225e+44     5.807048942508137e+44
    2.219988434594158e+00     6.055658017395381e+44     6.055658160196646e+44     5.798039650011320e+44
    2.229986516702469e+00     6.048590706023971e+44     6.048590849586077e+44     5.788861641428410e+44
    2.239989786116944e+00     6.041391584019290e+44     6.041391726705496e+44     5.779513002469104e+44
    2.249996129689850e+00     6.034058009184786e+44     6.034058151542663e+44     5.769992473112067e+44
    2.259989565326358e+00     6.026598221956530e+44     6.026598364475108e+44     5.760313138831596e+44
    2.269996398493157e+00     6.018989307888632e+44     6.018989449584511e+44     5.750447773198129e+44
    2.279987034548828e+00     6.011250861480693e+44     6.011251003888587e+44     5.740424447620095e+44
    2.289987488600068e+00     6.003360267198799e+44     6.003360408912593e+44     5.730216610649005e+44
    2.299995927766293e+00     5.995316372696527e+44     5.995316514673868e+44     5.719825655777939e+44
    2.309997386069087e+00     5.987129202153206e+44     5.987129342645119e+44     5.709267434284656e+44
    2.319990811531928e+00     5.978798296543741e+44     5.978798437417174e+44     5.698544172284763e+44
    2.329988365727893e+00     5.970312096577978e+44     5.970312237327419e+44     5.687643887305484e+44
    2.339988896225467e+00     5.961670205604982e+44     5.961670346075766e+44     5.676568937741268e+44
    2.349991389421240e+00     5.952872427965156e+44     5.952872567738471e+44     5.665321955695318e+44
    2.359994984111069e+00     5.943918895010667e+44     5.943919035295671e+44     5.653905957868419e+44
    2.369998979281621e+00     5.934810225082778e+44     5.934810364816292e+44     5.642324668738883e+44
    2.379990407805479e+00     5.925559209079645e+44     5.925559349056843e+44     5.630597250789774e+44
    2.389993781233242e+00     5.916144615030853e+44     5.916144754458225e+44     5.618699886645456e+44
    2.399996248183575e+00     5.906580662954616e+44     5.906580802029422e+44     5.606653764600070e+44
    2.409995903877599e+00     5.896872567010402e+44     5.896872705469544e+44     5.594468645104185e+44
    2.419998982556305e+00     5.887018578587182e+44     5.887018716280415e+44     5.582145604608911e+44
    2.429992627180083e+00     5.877037175825361e+44     5.877037314284964e+44     5.569711098022288e+44
    2.439988425803868e+00     5.866923778291558e+44     5.866923916353942e+44     5.557162840410002e+44
    2.449997687379638e+00     5.856674761569399e+44     5.856674899458323e+44     5.544500014291665e+44
    2.459997152923365e+00     5.846323196495439e+44     5.846323334427829e+44     5.531767110980099e+44
    2.469998660469343e+00     5.835867275650751e+44     5.835867412618244e+44     5.518965439687532e+44
    2.479991366249950e+00     5.825329550408798e+44     5.825329687295808e+44     5.506126043097340e+44
    2.489998353700348e+00     5.814697243225418e+44     5.814697379917484e+44     5.493236797920138e+44
    2.499998024644811e+00     5.804005155112329e+44     5.804005292101359e+44     5.480342988453837e+44
    2.509991536855258e+00     5.793264050905065e+44     5.793264187571448e+44     5.467460191888138e+44
    2.519990898162844e+00     5.782472566222188e+44     5.782472702328964e+44     5.454589120549408e+44
    2.529997024933646e+00     5.771640566420953e+44     5.771640701982514e+44     5.441743679307566e+44
    2.539989611678564e+00     5.760800145439201e+44     5.760800281225588e+44     5.428963418691461e+44
