t,BTotal_v_avg
0.730,     4.764753269242156e+17
0.740,     4.762373509282764e+17
0.750,     4.760009978543322e+17
0.760,     4.757679948084664e+17
0.770,     4.755386282938232e+17
0.780,     4.753117159739792e+17
0.790,     4.750897363602132e+17
0.800,     4.748714847740972e+17
0.810,     4.746572045718108e+17
0.820,     4.744471659202701e+17
0.830,     4.742417222679639e+17
0.840,     4.740405481870468e+17
0.850,     4.738439317304868e+17
0.860,     4.736523340859069e+17
0.870,     4.734641546636167e+17
0.880,     4.732812681520384e+17
0.890,     4.731029813209635e+17
0.900,     4.729286582302568e+17
0.910,     4.727590523285246e+17
0.920,     4.725940428086492e+17
0.930,     4.724337717057363e+17
0.940,     4.722778394176228e+17
0.950,     4.721264082256017e+17
0.960,     4.719790218999331e+17
0.970,     4.718367349097003e+17
0.980,     4.716980374998029e+17
0.990,     4.715638222849329e+17
1.000,     4.714336413999096e+17
1.010,     4.713069670730206e+17
1.020,     4.711841511507697e+17
1.030,     4.710654953415702e+17
1.040,     4.709503331566241e+17
1.050,     4.708394102296309e+17
1.060,     4.707318870041991e+17
1.070,     4.706282280088630e+17
1.080,     4.705281295133292e+17
1.090,     4.704313086412539e+17
1.100,     4.703376992390596e+17
1.110,     4.702470240730382e+17
1.120,     4.701590251348065e+17
1.130,     4.700736502872735e+17
1.140,     4.699904766851101e+17
1.150,     4.699092938748115e+17
1.160,     4.698298937150064e+17
1.170,     4.697519061427631e+17
1.180,     4.696751461544277e+17
1.190,     4.695992697494881e+17
1.200,     4.695239424489088e+17
1.210,     4.694486593931858e+17
1.220,     4.693734494421069e+17
1.230,     4.692980067847356e+17
1.240,     4.692216769236232e+17
1.250,     4.691443455489276e+17
1.260,     4.690659286545562e+17
1.270,     4.689857861950239e+17
1.280,     4.689038593363200e+17
1.290,     4.688199223078039e+17
1.300,     4.687335486093217e+17
1.310,     4.686447597864632e+17
1.320,     4.685529192558991e+17
1.330,     4.684583361717674e+17
1.340,     4.683606476476356e+17
1.350,     4.682594788065968e+17
1.360,     4.681550207848279e+17
1.370,     4.680469643188013e+17
1.380,     4.679352746753368e+17
1.390,     4.678202655099616e+17
1.400,     4.677010730596228e+17
1.410,     4.675783849917729e+17
1.420,     4.674519545010976e+17
1.430,     4.673219019211732e+17
1.440,     4.671884214510927e+17
1.450,     4.670512984542187e+17
1.460,     4.669106861045063e+17
1.470,     4.667667539496726e+17
1.480,     4.666197030342134e+17
1.490,     4.664694048654040e+17
1.500,     4.663164915620196e+17
1.510,     4.661603465125811e+17
1.520,     4.660020345826610e+17
1.530,     4.658409520636594e+17
1.540,     4.656777815314251e+17
1.550,     4.655123424907963e+17
1.560,     4.653448703388714e+17
1.570,     4.651755807676761e+17
1.580,     4.650046663203605e+17
1.590,     4.648318560953275e+17
1.600,     4.646577583306498e+17
1.610,     4.644820743947668e+17
1.620,     4.643054103457965e+17
1.630,     4.641269747142430e+17
1.640,     4.639472868714653e+17
1.650,     4.637659496825130e+17
1.660,     4.635834311139499e+17
1.670,     4.633992773028166e+17
1.680,     4.632139055511319e+17
1.690,     4.630268087615636e+17
1.700,     4.628374545716971e+17
1.710,     4.626466270160090e+17
1.720,     4.624532950343562e+17
1.730,     4.622582005604236e+17
1.740,     4.620602734342815e+17
1.750,     4.618597706310950e+17
1.760,     4.616560391620807e+17
1.770,     4.614493161474508e+17
1.780,     4.612389232683516e+17
1.790,     4.610250978658280e+17
1.800,     4.608071489469053e+17
1.810,     4.605853272338328e+17
1.820,     4.603589647626451e+17
1.830,     4.601279371175439e+17
1.840,     4.598927519378788e+17
1.850,     4.596528410940324e+17
1.860,     4.594077604858088e+17
1.870,     4.591570251131885e+17
1.880,     4.589008010687689e+17
1.890,     4.586385591411301e+17
1.900,     4.583711471353856e+17
1.910,     4.580977892003088e+17
1.920,     4.578193835222947e+17
1.930,     4.575350458046593e+17
1.940,     4.572446433269502e+17
1.950,     4.569484275249000e+17
1.960,     4.566468913211535e+17
1.970,     4.563404471428339e+17
1.980,     4.560289103748755e+17
1.990,     4.557114601384067e+17
2.000,     4.553893717781745e+17
2.010,     4.550619868328995e+17
2.020,     4.547304655687864e+17
2.030,     4.543949574628419e+17
2.040,     4.540552450134996e+17
2.050,     4.537114285383430e+17
2.060,     4.533633552182716e+17
2.070,     4.530122063004328e+17
2.080,     4.526582245422089e+17
2.090,     4.523006600570283e+17
2.100,     4.519408201977126e+17
2.110,     4.515779336156141e+17
2.120,     4.512125238970010e+17
2.130,     4.508458998309622e+17
2.140,     4.504762027223780e+17
2.150,     4.501048750775698e+17
2.160,     4.497323094499633e+17
2.170,     4.493583180952779e+17
2.180,     4.489828584349910e+17
2.190,     4.486059304452168e+17
2.200,     4.482278781990104e+17
2.210,     4.478484892327166e+17
2.220,     4.474690483134512e+17
2.230,     4.470883493967432e+17
2.240,     4.467065481814771e+17
2.250,     4.463239137511620e+17
2.260,     4.459411379789609e+17
2.270,     4.455571145671372e+17
2.280,     4.451729725793754e+17
2.290,     4.447877865178237e+17
2.300,     4.444016139959989e+17
2.310,     4.440149640270325e+17
2.320,     4.436278703228678e+17
2.330,     4.432398863707215e+17
2.340,     4.428509883191231e+17
2.350,     4.424611355488980e+17
2.360,     4.420703404059722e+17
2.370,     4.416786155909609e+17
2.380,     4.412864195440540e+17
2.390,     4.408927250791348e+17
2.400,     4.404979823556368e+17
2.410,     4.401022237926686e+17
2.420,     4.397051882567875e+17
2.430,     4.393073702023212e+17
2.440,     4.389082657295324e+17
2.450,     4.385073901455953e+17
2.460,     4.381056775634825e+17
2.470,     4.377026549124333e+17
2.480,     4.372987446694583e+17
2.490,     4.368930025293379e+17
2.500,     4.364862945100356e+17
2.510,     4.360785552061110e+17
2.520,     4.356692796836664e+17
2.530,     4.352584228947345e+17
2.540,     4.348467925089727e+17
2.550,     4.344334257346240e+17
2.560,     4.340186764466275e+17
2.570,     4.336024534362028e+17
2.580,     4.331846595497015e+17
2.590,     4.327656235902431e+17
2.600,     4.323448190168080e+17
2.610,     4.319224462263014e+17
2.620,     4.314987691884998e+17
2.630,     4.310728729352876e+17
2.640,     4.306455205899153e+17
2.650,     4.302162104871012e+17
2.660,     4.297848548930332e+17
2.670,     4.293517683307408e+17
2.680,     4.289168478084413e+17
2.690,     4.284795809574764e+17
2.700,     4.280402797333283e+17
2.710,     4.275988403383843e+17
2.720,     4.271549163832567e+17
2.730,     4.267088134531619e+17
2.740,     4.262606011293732e+17
2.750,     4.258096373230145e+17
2.760,     4.253562865426234e+17
2.770,     4.249004894924582e+17
2.780,     4.244421798645781e+17
2.790,     4.239809732192069e+17
2.800,     4.235173653455668e+17
2.810,     4.230508111093278e+17
2.820,     4.225813061167969e+17
2.830,     4.221091950967877e+17
2.840,     4.216340148134342e+17
2.850,     4.211556627113226e+17
2.860,     4.206744039096436e+17
2.870,     4.201893609566250e+17
2.880,     4.197015536464627e+17
2.890,     4.192101781850321e+17
2.900,     4.187151262881119e+17
2.910,     4.182167460867809e+17
2.920,     4.177145808833324e+17
2.930,     4.172085105950588e+17
2.940,     4.166983879653580e+17
2.950,     4.161843917365621e+17
2.960,     4.156659244275897e+17
2.970,     4.151434047600589e+17
2.980,     4.146168247793385e+17
2.990,     4.140859385244714e+17
3.000,     4.135509457965887e+17
3.010,     4.130109875715971e+17
3.020,     4.124662600589502e+17
3.030,     4.119166928829484e+17
3.040,     4.113618715212513e+17
3.050,     4.108020876981798e+17
3.060,     4.102369563478879e+17
3.070,     4.096664274572355e+17
