t,BToroidal_v_avg
0.950,     3.772566895183346e+17
0.960,     3.772455497493757e+17
0.970,     3.772412073848403e+17
0.980,     3.772434858074718e+17
0.990,     3.772522430706265e+17
1.000,     3.772673023627044e+17
1.010,     3.772885746789544e+17
1.020,     3.773158511685571e+17
1.030,     3.773488655030362e+17
1.040,     3.773876297692621e+17
1.050,     3.774316900372415e+17
1.060,     3.774811301982832e+17
1.070,     3.775354606596883e+17
1.080,     3.775944702141962e+17
1.090,     3.776579312212858e+17
1.100,     3.777254474867956e+17
1.110,     3.777967157443585e+17
1.120,     3.778714008140160e+17
1.130,     3.779489527268084e+17
1.140,     3.780290971301533e+17
1.150,     3.781113549331167e+17
1.160,     3.781951863408160e+17
1.170,     3.782801924083569e+17
1.180,     3.783657512381574e+17
1.190,     3.784513974345889e+17
1.200,     3.785366449264221e+17
1.210,     3.786211780668413e+17
1.220,     3.787040895549731e+17
1.230,     3.787848599618376e+17
1.240,     3.788633490851025e+17
1.250,     3.789388495584599e+17
1.260,     3.790106929457800e+17
1.270,     3.790787542239183e+17
1.280,     3.791424132963876e+17
1.290,     3.792012674369169e+17
1.300,     3.792550897264159e+17
1.310,     3.793034220893089e+17
1.320,     3.793462204851396e+17
1.330,     3.793830403792095e+17
1.340,     3.794138305074238e+17
1.350,     3.794385486904991e+17
1.360,     3.794570772428999e+17
1.370,     3.794694818526404e+17
1.380,     3.794758359908107e+17
1.390,     3.794762985424916e+17
1.400,     3.794710722466205e+17
1.410,     3.794604437523903e+17
1.420,     3.794447327503860e+17
1.430,     3.794243363464332e+17
1.440,     3.793997204731891e+17
1.450,     3.793713135795295e+17
1.460,     3.793396420179347e+17
1.470,     3.793052683533747e+17
1.480,     3.792687896330189e+17
1.490,     3.792307348626269e+17
1.500,     3.791918342012294e+17
1.510,     3.791524981475744e+17
1.520,     3.791135512711335e+17
1.530,     3.790753847849751e+17
1.540,     3.790386766211701e+17
1.550,     3.790038713003596e+17
1.560,     3.789714785874577e+17
1.570,     3.789419562949249e+17
1.580,     3.789156977331649e+17
1.590,     3.788929776400115e+17
1.600,     3.788741215978105e+17
1.610,     3.788592694935612e+17
1.620,     3.788485623896906e+17
1.630,     3.788419788457583e+17
1.640,     3.788394932780890e+17
1.650,     3.788409732759220e+17
1.660,     3.788461999890055e+17
1.670,     3.788548880392364e+17
1.680,     3.788666433981259e+17
1.690,     3.788810455693536e+17
1.700,     3.788976332090654e+17
1.710,     3.789157582825679e+17
1.720,     3.789348840652441e+17
1.730,     3.789542588928416e+17
1.740,     3.789732738673278e+17
1.750,     3.789911553594175e+17
1.760,     3.790072017711667e+17
1.770,     3.790206209613421e+17
1.780,     3.790306900532662e+17
1.790,     3.790366456537599e+17
1.800,     3.790377768504983e+17
1.810,     3.790333856341472e+17
1.820,     3.790228024476934e+17
1.830,     3.790053911801740e+17
1.840,     3.789806186265856e+17
1.850,     3.789479207226993e+17
1.860,     3.789068218315887e+17
1.870,     3.788569049403443e+17
1.880,     3.787979368042266e+17
1.890,     3.787295349543639e+17
1.900,     3.786516327076742e+17
1.910,     3.785637822438154e+17
1.920,     3.784662523803715e+17
1.930,     3.783589041918756e+17
1.940,     3.782418383938958e+17
1.950,     3.781151919199345e+17
1.960,     3.779791635511799e+17
1.970,     3.778340182296435e+17
1.980,     3.776800751501214e+17
1.990,     3.775174043976845e+17
2.000,     3.773469870540984e+17
2.010,     3.771686535652029e+17
2.020,     3.769831737415985e+17
2.030,     3.767910480545169e+17
2.040,     3.765927919515273e+17
2.050,     3.763889284502784e+17
2.060,     3.761796257044477e+17
2.070,     3.759657689597369e+17
2.080,     3.757479061216745e+17
