t,BPoloidal_v_avg
1.080,     2.807474603175028e+17
1.090,     2.804997382229114e+17
1.100,     2.802517400031562e+17
1.110,     2.800034018150259e+17
1.120,     2.797547379032362e+17
1.130,     2.795063971591985e+17
1.140,     2.792580346930728e+17
1.150,     2.790099417704143e+17
1.160,     2.787624975443421e+17
1.170,     2.785156177261793e+17
1.180,     2.782698352197870e+17
1.190,     2.780252041907614e+17
1.200,     2.777818219372404e+17
1.210,     2.775392714320877e+17
1.220,     2.772988418633454e+17
1.230,     2.770607315637243e+17
1.240,     2.768240321648625e+17
1.250,     2.765895251839966e+17
1.260,     2.763579929916991e+17
1.270,     2.761285310246322e+17
1.280,     2.759019025211047e+17
1.290,     2.756782874789317e+17
1.300,     2.754572865522116e+17
1.310,     2.752395770451455e+17
1.320,     2.750241503725467e+17
1.330,     2.748121568366240e+17
1.340,     2.746030616781950e+17
1.350,     2.743962967589078e+17
1.360,     2.741923593301990e+17
1.370,     2.739906446785667e+17
1.380,     2.737909983143961e+17
1.390,     2.735937489941216e+17
1.400,     2.733971452387247e+17
1.410,     2.732019723298444e+17
1.420,     2.730073711190415e+17
1.430,     2.728129999592853e+17
1.440,     2.726185491845498e+17
1.450,     2.724230570978564e+17
1.460,     2.722260546982705e+17
1.470,     2.720270500631992e+17
1.480,     2.718255555439011e+17
1.490,     2.716206092725974e+17
1.500,     2.714122753491176e+17
1.510,     2.711989153821670e+17
1.520,     2.709812012082419e+17
1.530,     2.707575395406275e+17
1.540,     2.705281461153041e+17
1.550,     2.702920762699426e+17
1.560,     2.700490082395120e+17
1.570,     2.697986564097503e+17
1.580,     2.695407829003358e+17
1.590,     2.692745180290616e+17
1.600,     2.690004316078354e+17
1.610,     2.687177913994930e+17
1.620,     2.684274221284673e+17
1.630,     2.681279615796572e+17
1.640,     2.678203192301081e+17
1.650,     2.675039681584634e+17
1.660,     2.671800038948158e+17
1.670,     2.668480166868190e+17
1.680,     2.665092658579207e+17
1.690,     2.661634437825381e+17
1.700,     2.658102576682903e+17
1.710,     2.654519721808637e+17
1.720,     2.650875391661268e+17
1.730,     2.647193114693287e+17
1.740,     2.643462769548473e+17
1.750,     2.639699830916967e+17
1.760,     2.635902868417144e+17
1.770,     2.632087389095776e+17
1.780,     2.628251896599078e+17
1.790,     2.624411589600496e+17
1.800,     2.620564679021333e+17
1.810,     2.616725743434264e+17
1.820,     2.612892870053227e+17
1.830,     2.609073245052466e+17
1.840,     2.605283743792985e+17
1.850,     2.601522774780592e+17
1.860,     2.597789653882938e+17
1.870,     2.594082099797659e+17
1.880,     2.590406693566252e+17
1.890,     2.586759893639398e+17
1.900,     2.583157939288100e+17
1.910,     2.579593905528246e+17
1.920,     2.576080042097378e+17
1.930,     2.572602913145861e+17
1.940,     2.569158924239931e+17
1.950,     2.565750707063942e+17
1.960,     2.562384342356227e+17
1.970,     2.559063471665287e+17
1.980,     2.555780271963727e+17
1.990,     2.552519226164859e+17
2.000,     2.549288750822463e+17
2.010,     2.546079705256693e+17
2.020,     2.542901549765360e+17
2.030,     2.539749662720040e+17
2.040,     2.536612594407670e+17
2.050,     2.533484451994356e+17
2.060,     2.530360068915665e+17
2.070,     2.527247504835438e+17
2.080,     2.524143017047585e+17
2.090,     2.521030558888835e+17
2.100,     2.517915189579060e+17
2.110,     2.514786841098710e+17
2.120,     2.511648043373508e+17
2.130,     2.508504368886158e+17
2.140,     2.505331786947463e+17
2.150,     2.502138838952460e+17
2.160,     2.498926970679302e+17
2.170,     2.495693315571096e+17
2.180,     2.492432447410811e+17
2.190,     2.489140043705275e+17
2.200,     2.485818267193871e+17
2.210,     2.482464894782988e+17
2.220,     2.479090064174439e+17
2.230,     2.475680273211910e+17
2.240,     2.472236830346944e+17
2.250,     2.468763279162587e+17
2.260,     2.465266418876060e+17
2.270,     2.461735454790255e+17
2.280,     2.458181478175180e+17
2.290,     2.454598122263033e+17
2.300,     2.450987502687844e+17
2.310,     2.447355299493854e+17
2.320,     2.443703558762631e+17
2.330,     2.440030313823371e+17
2.340,     2.436337397596558e+17
2.350,     2.432626558254046e+17
2.360,     2.428900260233183e+17
2.370,     2.425160741111032e+17
2.380,     2.421414419532617e+17
2.390,     2.417653729003217e+17
2.400,     2.413885212888303e+17
2.410,     2.410111340626504e+17
2.420,     2.406331741568438e+17
2.430,     2.402553096798705e+17
2.440,     2.398772431678976e+17
2.450,     2.394987000478137e+17
2.460,     2.391207504696871e+17
2.470,     2.387431146245992e+17
2.480,     2.383663233190619e+17
2.490,     2.379896323852881e+17
2.500,     2.376139761808542e+17
2.510,     2.372393946958518e+17
2.520,     2.368655183879979e+17
2.530,     2.364924001448976e+17
2.540,     2.361208410852180e+17
2.550,     2.357500257545318e+17
2.560,     2.353803206767072e+17
2.570,     2.350116802905616e+17
2.580,     2.346440460901889e+17
2.590,     2.342777292138030e+17
2.600,     2.339122875094756e+17
2.610,     2.335479258038340e+17
2.620,     2.331848725617187e+17
2.630,     2.328223511740871e+17
2.640,     2.324610195139321e+17
2.650,     2.321004565549027e+17
2.660,     2.317405970887338e+17
2.670,     2.313817133023539e+17
2.680,     2.310237340809323e+17
2.690,     2.306662578989348e+17
2.700,     2.303095650221948e+17
2.710,     2.299535992530493e+17
2.720,     2.295981282961310e+17
2.730,     2.292434496301969e+17
2.740,     2.288896937774074e+17
2.750,     2.285364205503979e+17
2.760,     2.281839982110705e+17
2.770,     2.278324663784532e+17
2.780,     2.274818633796521e+17
2.790,     2.271320134779347e+17
2.800,     2.267834407820216e+17
2.810,     2.264358658038570e+17
2.820,     2.260894229748634e+17
2.830,     2.257445042211356e+17
2.840,     2.254009155928810e+17
2.850,     2.250587332908005e+17
2.860,     2.247182926687129e+17
2.870,     2.243791286090612e+17
2.880,     2.240421037104940e+17
2.890,     2.237068767154451e+17
2.900,     2.233735824394961e+17
2.910,     2.230426374036940e+17
2.920,     2.227138933805722e+17
2.930,     2.223874146026353e+17
2.940,     2.220632262256029e+17
2.950,     2.217415078385554e+17
2.960,     2.214218842099263e+17
2.970,     2.211054351380616e+17
2.980,     2.207924454474515e+17
2.990,     2.204827401433812e+17
3.000,     2.201765182820627e+17
3.010,     2.198733494069376e+17
3.020,     2.195734002424946e+17
3.030,     2.192767888755909e+17
3.040,     2.189834485060162e+17
3.050,     2.186936849482361e+17
3.060,     2.184074538387588e+17
3.070,     2.181248698980325e+17
3.080,     2.178462074519956e+17
3.090,     2.175712451471382e+17
3.100,     2.173002380733229e+17
3.110,     2.170331109122239e+17
3.120,     2.167700937230061e+17
3.130,     2.165112565108116e+17
3.140,     2.162565286930442e+17
3.150,     2.160059852588346e+17
3.160,     2.157598274190336e+17
3.170,     2.155181030501347e+17
3.180,     2.152807491264892e+17
3.190,     2.150479662336181e+17
3.200,     2.148198334948900e+17
3.210,     2.145964370061441e+17
3.220,     2.143777707192228e+17
3.230,     2.141640600596267e+17
3.240,     2.139554330348580e+17
3.250,     2.137519228839713e+17
3.260,     2.135536624450246e+17
3.270,     2.133608811715755e+17
3.280,     2.131736326905520e+17
3.290,     2.129926350303014e+17
3.300,     2.128189323265083e+17
3.310,     2.126531510665948e+17
3.320,     2.124953947889761e+17
3.330,     2.123460123052731e+17
3.340,     2.122052861872704e+17
3.350,     2.120734450798728e+17
3.360,     2.119507930070605e+17
3.370,     2.118376702353443e+17
3.380,     2.117343003507316e+17
3.390,     2.116411321739506e+17
3.400,     2.115585675947700e+17
3.410,     2.114871069292356e+17
3.420,     2.114273373104112e+17
3.430,     2.113799719360169e+17
3.440,     2.113458399187863e+17
3.450,     2.113259197523448e+17
3.460,     2.113213764147498e+17
3.470,     2.113336667835573e+17
3.480,     2.113646779816905e+17
3.490,     2.114169521215628e+17
3.500,     2.114940666332257e+17
3.510,     2.116006583933244e+17
3.520,     2.117434271007704e+17
3.530,     2.119320829823430e+17
3.540,     2.121866356736227e+17
3.550,     2.125448587403645e+17
3.560,     2.130626000215816e+17
3.570,     2.137838809733422e+17
3.580,     2.146268928653309e+17
3.590,     2.154549699736981e+17
3.600,     2.161492481931919e+17
3.610,     2.165713409579826e+17
3.620,     2.167814968039286e+17
3.630,     2.168436093704343e+17
3.640,     2.168336064827551e+17
3.650,     2.167983373864973e+17
3.660,     2.167556894809278e+17
3.670,     2.167096925870874e+17
3.680,     2.166595435952860e+17
3.690,     2.166073791960420e+17
3.700,     2.165523112510364e+17
3.710,     2.164945805380955e+17
3.720,     2.164340348492089e+17
3.730,     2.163719362773173e+17
3.740,     2.163131411291207e+17
3.750,     2.162579400067674e+17
